long,lat,rural_urban,country,haz_new_mean,waz_new_mean,bmi_adult_mean
-1.025773,5.256947,urban,Ghana,-99.5,-46.5,2651.0
-0.994889,5.58263,urban,Ghana,-189.5,-169.75,2451.4
-0.99375,10.355624,rural,Ghana,-88.47368421052632,-84.52631578947368,2254.7368421052633
-0.989319,5.899373,urban,Ghana,-41.75,6.25,2936.0
-0.98247,5.212687,rural,Ghana,-122.83333333333333,-92.66666666666667,2509.8571428571427
-0.981517,10.83486,rural,Ghana,-116.28571428571429,-108.85714285714286,2100.875
-0.981075,10.894036,rural,Ghana,-22.0,-99.0,2054.6666666666665
-0.976951,5.411852,urban,Ghana,-97.0,-65.63636363636364,2542.8333333333335
-0.966748,5.850759,rural,Ghana,-105.57142857142857,-84.57142857142857,2260.5714285714284
-0.952127,6.493993,rural,Ghana,-212.5,-157.5,2356.6666666666665
-0.945699,7.861022,rural,Ghana,-129.05555555555554,-91.44444444444444,2270.4444444444443
-0.930594,5.307982,rural,Ghana,-87.57142857142857,-71.71428571428571,2621.375
-0.928049,6.738166,rural,Ghana,-9.833333333333334,-17.333333333333332,2459.4285714285716
-0.908006,6.12759,rural,Ghana,-125.14285714285714,-78.57142857142857,2650.285714285714
-0.893155,9.383568,rural,Ghana,-138.0,-150.0,2498.0
-0.88719,10.921841,rural,Ghana,-32.0,-42.285714285714285,2525.5714285714284
-0.881386,9.600385,rural,Ghana,-121.75,-109.16666666666667,2106.75
-0.879396,6.363533,rural,Ghana,-75.83333333333333,-16.0,2330.5
-0.875165,10.700325,urban,Ghana,-39.2,-64.2,2135.4
-0.870368,9.449875,urban,Ghana,-154.5,-157.5,1826.5
-0.859477,9.409584,urban,Ghana,-250.0,-186.0,2337.0
-0.858898,10.793015,urban,Ghana,-70.8,-94.8,2696.5
-0.858264,10.784772,urban,Ghana,-106.375,-53.625,2488.0
-0.857887,9.404948,urban,Ghana,-176.8,-104.0,2015.6
-0.857472,6.445297,rural,Ghana,-137.3846153846154,-57.0,2314.785714285714
-0.857371,10.775555,urban,Ghana,-35.5,-57.25,2360.125
-0.844709,10.800455,urban,Ghana,-44.142857142857146,-59.142857142857146,2781.2
-0.841807,10.766683,rural,Ghana,-35.0,-79.0,2020.0
-0.838669,9.415356,urban,Ghana,-62.625,-113.75,2451.8
-0.8331,9.413032,urban,Ghana,-166.75,-108.5,2480.6666666666665
-0.829281,9.378788,urban,Ghana,-261.3333333333333,-175.5,2190.1428571428573
-0.82873,6.089821,urban,Ghana,-135.8,-124.0,3127.1666666666665
-0.824637,5.45208,rural,Ghana,-64.0,-75.0,2286.8333333333335
-0.817643,9.619032,urban,Ghana,-86.2,-122.7,2194.2
-0.816451,10.757111,rural,Ghana,-167.8,-112.4,2235.6666666666665
-0.815987,5.300916,rural,Ghana,-123.4,-55.6,2276.4
-0.808439,10.33815,urban,Ghana,-85.44444444444444,-99.88888888888889,2336.0
-0.802209,5.722526,rural,Ghana,-139.8181818181818,-180.72727272727272,2239.9166666666665
-0.795294,6.589175,rural,Ghana,-69.57142857142857,-23.0,2329.875
-0.792792,5.846177,rural,Ghana,-170.6,-117.2,2156.2
-0.790541,10.97048,rural,Ghana,-70.54545454545455,-54.09090909090909,2271.5454545454545
-0.783099,8.130599,urban,Ghana,-95.375,-52.75,2186.625
-0.773147,6.544403,urban,Ghana,-55.0,20.0,2612.75
-0.758292,5.268589,urban,Ghana,-104.0,-142.5,2729.25
-0.754672,6.633223,urban,Ghana,-76.0,-5.0,3297.0
-0.735323,10.761936,rural,Ghana,-71.75,-67.25,2199.7
-0.727644,10.847542,rural,Ghana,-52.8,-30.0,2278.6
-0.725729,5.501529,rural,Ghana,-128.88888888888889,-137.33333333333334,2429.3
-0.707836,5.549864,urban,Ghana,-32.5,47.5,2849.5
-0.706952,5.523954,urban,Ghana,-26.714285714285715,-8.857142857142858,2417.4444444444443
-0.703546,7.689684,rural,Ghana,-151.25,-220.5,2421.25
-0.700474,5.94169,rural,Ghana,-107.8,-27.4,2658.1666666666665
-0.694926,7.729985,urban,Ghana,-50.666666666666664,-77.0,2392.0
-0.688929,8.218042,rural,Ghana,-55.0,-71.5,2595.5
-0.67478,5.649393,rural,Ghana,-149.83333333333334,-70.05555555555556,2372.75
-0.671995,5.861162,urban,Ghana,-105.0,-102.75,2709.25
-0.664253,10.661811,rural,Ghana,-55.1,-53.9,2377.4166666666665
-0.638268,9.903436,rural,Ghana,-123.4,-110.2,2162.0
-0.636008,5.593991,urban,Ghana,-176.33333333333334,-55.333333333333336,2697.5
